content,toxic
cai video do ma may cung dam share len fb a?,1
Power spike awareness không có,1
Game thường xuyên mất kết nối,0
Lúc bị bóc thì lại than bị hiểu lầm,1
cảm xúc ùa về từng đợt luôn,0
clip co tieng an nghe da tai ghe,0
bun bo khong co thit,0
Ugly crying right now,0
cai anh do nhin ma chi muon block ngay va luon!,1
cf king,0
"Ngại giùm luôn, awkward vãi",0
Tấm lòng đẹp luôn được ghi nhận 🥹,0
"âm thanh hơi nhỏ, phải mở max volume",0
giá cả quá hợp lý rồi hẹ hẹ hẹ,0
"Shop hứa như mía lùi, làm chẳng ra gì",1
"Đừng cố làm màu, ai cũng biết là giả thôi",1
Không hiểu đoạn kết muốn nói gì,0
mình đi rồi nên thấy biết ơn những ngày đó,0
ăn thử xong thấy nhớ cơm mẹ nấu ghê,0
"Thời tiết thế này thích quá, cứ thế đi",0
Stream mà multi-task như không tập trung,1
Ảnh room tour mà phòng như bãi rác,1
Binge-watching mode activated,0
co ai noi cai giong noi nghe muoi mat do hay ho gi dau?,1
fake news! dung tin,0
dm,1
giọng đọc + cap = tan chảy luôn,0
ban co quay thuc don trong tuan khong?,0
Ảnh morning routine mà ngủ đến trưa,1
sotd,0
Too obvious! Dễ đoán quá,0
menu nhìn sang mà ăn thì chán ghê,0
Đã vô dụng còn thích làm trò hề,1
Lên mạng chém gió thôi chứ ngoài đời vô dụng,1
Bối cảnh nhìn dễ thương ghê,0
Pose như tượng đài vậy,1
cái ghế cũng đẹp hơn lớp tui nữa,0
"Đồ khốn, cút mẹ mày đi!",1
Tôi cũng thích sản phẩm này,0
muốn sống bình yên mà cap không cho phép,0
Bài nhạc nền này tên gì vậy?,0
ban co the cho minh dia chi mua do an khong?,0
Tôi không thích giao diện mới,0
giọng lồng từng nhân vật khác nhau cực hay,0
chua hieu,0
van con nguoi leo rao chan bang xe,0
Bạn nhận xét gì về chất lượng đóng gói?,0
"Cũ rồi, tui thấy nhàm lắm",0
Đừng spoil cho ai nha,0
"Lan man quá, tui không hiểu gì hết",0
Chắc cha mẹ cũng thấy nhục nhã,1
cai cach may viet status nhin la biet khong hoc!,1
bi tac duong ngay giua trua nang,0
Không hài lòng với hệ thống điều khiển,0
"Đôi này cute xỉu, ship mạnh!",0
tụi mình nên vui vẻ chứ đừng căng thẳng vùng miền,0
"Nói thì hay, làm thì như hạch",1
đọc bình luận mà rối luôn á,0
"Cơm quê giá cổng trời, ăn xong nhớ mãi 😭",0
bài học chưa thuộc nhưng outfit là phải đỉnh,0
Tui tưởng người Nhật lồng chứ =)),0
Không muốn xem thêm clip nào nữa từ kênh này,1
Ảnh shopping haul mà đồ nhái,1
Nailed it! Làm chuẩn,0
"Đoán dc từ đầu, chán vcl!",0
Lỗi rồi bạn ơi,0
"Ghét thật, nội dung này cringe quá!",0
mỗi lần đọc cap kiểu này là auto thở dài,0
"Thương gia đình anh, cố lên",0
"Dịch vụ chậm quá, đợi mãi không thấy",0
Bạn đánh giá tổng quan giúp mình với,0
nếu cho tui thử chắc fail quá 😅,0
Loại đầu tôm,1
"Sản phẩm dễ hỏng, dùng được vài ngày",0
"Love is in the air, except for me",0
do an ve mo ra thay bi do,0
Hàng tệ mà còn khoe trên trời,1
Video xem hơi chán,0
Chưa thuyết phục lắm,0
Thật sự khâm phục cách xử lý tình huống,0
nếu bán ở quê chắc 25k là cùng,0
Perfect match! Đôi hoàn hảo,0
Mua về chỉ muốn vứt đi,1
Story close friends mà add bừa,1
Bạn có thể cập nhật thêm không?,0
ngu nhu bo,1
cai cach may viet status nhin la biet thieu muoi!,1
Hỗ trợ khách hàng chưa tốt,0
Comment xin like lại post,1
giong noi nghe nhuc dau,0
tui mà học chung là hỏng hết môn =))),0
clip nay up khi nao vay?,0
nhin ban an ma cung muon an theo,0
cảm giác như lớp này ai cũng là hot girl,0
"Thằng óc chó, nói nhảm hoài!",1
"Hok đoán dc, hay xĩu lun!",0
Bụng như cái trống mà mặc áo crop top,1
clip lam cho co thoi,0
Clip vui thôi đừng nghĩ nhiều,0
may co nghi cai status nay nham nhi the nao khong?,1
Không đáng để quan tâm,1
Vỗ tay cái nè 👏👏,0
Coi bao nhiêu lần vẫn cười 😆,0
Có gì đó sai sai ở đây,0
Thông tin này không đúng đâu bạn,0
tự nhiên thấy bản thân như trong video,0
xinh gai qua,0
Cần thêm trải nghiệm thực tế từ người dùng,0
Chơi game mà rage như điên,1
arm candy,0
Giải trí nhẹ thôi nè,0
noi k ro rang,0
"Đúng vibe tui luôn, yêu lắm!",0
Bạn thấy video này có hữu ích không?,0
một chặng đường đáng nhớ của tuổi trẻ,0
Bạn thấy giao diện thế nào?,0
may nghi may la ai ma di cong kich nguoi khac?,1
"qua ngot, kho nuot",0
quán làm màu quá trời,0
Groundbreaking! Đột phá,0
Mày làm content gì tào lao vcl!,1
"Nhìn clip mà xót, thương anh",0
giờ tag ai vô cũng nhạy cảm hết,0
I'm not ready for spoilers,0
ai mà dễ thương dữ thần vậy trời,0
thi xong là ngủ li bì luôn á,0
"xin bác sĩ chữa em đi, bệnh tương tư nặng lắm rồi",0
"Hình hok load dc, check lại đi!",0
Draft strategy như đùa,1
Tôi vừa mới đăng ký bảo hành,0
"duong nay toi qua, khong co den",0
cai cach may livestream nhin la biet vo duyen!,1
tui cũng muốn được quay như vậy,0
video mang tính giải trí thôi nha,0
Saw it coming from miles away,0
có khi nào lên báo luôn không trời,0
Hài hước chút cho vui nhà vui cửa,0
may nghi may viet status vay la hay ho lam a?,1
mọi chuyện bắt đầu từ cái cap,0
Chỉ biết stream game trending thôi,1
Chills! Rùng mình,0
Quảng cáo hơi lộ liễu,0
cai cach may viet comment nhin la biet thieu i ot!,1
Sản phẩm tệ kinh khủng,1
may nghi cai mat do ai thich nhin tren fb ha?,1
em nói thiệt chị cứ vầy tiên trên trời cũng ko bằng á,0
"Thằng khốn, xóa vid nì đi!",1
Third wheel life,0
Đoạn nhạc không ăn khớp clip,0
đáng sợ ghê á trời,0
"Tùy bạn, tui không quan tâm lắm",0
tui gửi cho bạn bè coi liền vì hay quá,0
Nội dung không hấp dẫn,0
clout chaser,0
Bạn cảm nhận chất lượng pin ra sao?,0
mặt mệt mà vẫn ngầu là sao chời,0
Shop không biết điều là gì,1
Ảnh nào cũng một kiểu chán lắm,1
Không biết sao lại lên trending,0
Post ảnh diet mà ăn như heo,1
"Có nhiều lỗi quá, chơi khó chịu",0
Always others' fault,1
Không thích giao diện mới của game,0
"Tin vịt, Telegram nổi tiếng là trang mxh ko thể kiểm soát",0
enemies to lovers,0
Chúc mừng bạn ra video mới nha!,0
Coi mà chả hiểu muốn truyền đạt gì,0
Game changer! Thay đổi cuộc chơi,0
Nội dung 18+ mà không báo trước,1
Bạn có review so sánh với sản phẩm khác không?,0
Sống như bạn thật phí cuộc đời,1
Post workout mà form tập sai,1
Dượng bầu vắt view cơm quê tới khô luôn 😂,0
Không nghĩ clip lại mang năng lượng tích cực vậy,0
"Nội dung nhảm nhí, toàn lặp lại ý cũ",1
Shop chỉ biết hưởng lợi từ khách,1
"đúng là đỉnh cao cap tiktok, chạm tới trái tim",0
"Chẳng có gì hấp dẫn, buồn ngủ muốn chết",1
"người đẹp cảnh đẹp, học chắc cũng đỉnh",0
Forced! Không natural,0
Bạn đã từng bị lỗi này chưa?,0
"Đẻ nhiều để giờ khổ cả nhà, haiz",0
Slayed! Hủy diệt,0
Cần luật nghiêm hơn cho mấy vụ phá hoại,0
Không liên hệ được tổng đài,0
bn tuoi,0
noi chuyen chang ro,0
Streamer fake cảm xúc kinh khủng,1
nghe roi ma them theo,0
Cảm giác chơi game không đã tay,0
"Hok có gì hot, bt thui!",0
Game crash đúng lúc quan trọng,0
Không có hướng dẫn bằng tiếng Việt,0
Mạnh Dũng nay hào phóng quá 😂,0
Tuổi lồn mà đòi làm content chất?,1
"Ngại giùm lun, awkward xĩu!",0
Không PR rầm rộ mà vẫn nổi bật,0
kỷ niệm không thể nào quên trong đời,0
Chắc tưởng dân mạng dễ lừa,1
Không có gì đáng để xem hết,0
ai mà nghĩ ra kịch bản này hay dữ,0
"Không nói nhiều, 10 điểm!",0
Không nói thì ai cũng biết rồi,1
Streamer này toxic với mọi người,1
ổng sợ người Việt ❌\nngười Việt sợ ổng ✅,0
Cần thêm thông tin sản phẩm,0
Show off! Khoe khoang,0
"Dm, lừa đảo hả? Đừng tin nha!",1
Chill đi bạn! Bình tĩnh,0
Lúc đầu tưởng xấu mà hóa ra dễ thương 😍,0
may nghi may noi gi cung dung tren fb nay a?,1
Hệ thống mua bán trong game bất tiện,0
Predictable! Đoán được rồi,0
mọi người đều xinh đẹp nên mình cũng muốn học giỏi hơn,0
thế xem sẽ có phạm pháp không,0
