content,toxic
Chào nhà báo vũ hoàng Lân. Chào danh hài vũ trụ trần tiger:-),1
Anh Thi nào đi đăng ký rủ anh nhé.,0
ở mỹ ns cái lồn gì k đc,0
"Thôn làm vậy là do thôn lầm, thôn lầm nên dân nó ghét, nó bật lại là thôn cái lù",0
Phạm Văn Lộc fuho trời nắng chóng mặt hả idol,0
Có vẻ là người nổi tiếng :v,0
ʚöɞPhong Trần ʚöɞ Đoàn Chính Park Huyn Phong Tấn Đồng quê ta gọi là gì 😂😂,0
Qua mặt j do fan minh hiếu vô chọc trần đoàn trước chi. Chó hùa,1
"Đường sắt Cát Linh- Hà Đông cũng vậy,dân cũng đóng thuế để nuôi cẩu quan và Tàu+!!!",1
"Ơh khoan khoan, Tùng ơi sao số 1 của con, lại là NGÓN GIỮA vậy :((",0
Dương Bé chết rồi trời từ con 17 nó lây loạn xạ,0
"Khổ ghê, đã bảo là không xem Dần nữa rồi. Zị mà tấc nhiên là thấy cái mặt lại là tấc nhiên xem.",0
Chi ba vang that kg so lua.chi ba giup e. Khoa cai mieng con ho xuan huong o viet nam kg biet no dc bao nhieu tien ma si nhuc con nguoi ta 1 cach kinh tom,1
"Chưa bao giờ nền giáo dục được như ngày hôm nay, học sinh nữ lột quần áo đánh nhau ngoài đường, học sinh nam đứng cổ vũ, thầy giáo giao cấu với học trò đến có thai, cô thì đánh học sinh đến nhập viện cấp cứu, học sinh ra đường như du côn, đánh nhau như phim kiếm hiệp, đấy gọi là hạnh phúc hả ông?",1
Chi goc hong nó luôn đi,0
Cười chết được,0
Tối ngày Đi ra ngoài đường khùng khùng,0
Bon oc cho .ng gjup caj nay nguoi giup caj kia....thay ng ta dc nhjeu ng men mo thj quay ra can dit noi xau..,1
Nguyễn Minh Thu chếtluondi,1
bức xúc đỏ mặt,0
Tài Tấn Trần bắn chết đứa nào trốn cách li :),1
Hơn rồi nhé,0
Nếu bảo chủ tịch mặt như l... thì ?????,1
"báo viết tiếu thấy moẹ ! 2 thằng kia nó không bỏ phong bì 1tr usd cho mấy thằng duyệt thầu thì đúng hơn ! làm việc với mấy thằng đuỹ xứ lừa mà thiếu ""bôi trơn"" là không thông được chúng nó đâu !",1
có 1 sự thật rằng nếu THP ko có nhiều tiền thì anh Minh sẽ ko ngồi tù ! Oke !Nếu THP ko có nhiều tiền thì giám định cái chai nó khác đi !,0
"Đào Mạnh An bên nó ai bị hoặc nghi bị thì tự cách ly tự điểu trị nhé, nó còn không cho xét nghiệm cơ, chỉ khi nào bạn chết thì nó mới khám nghiệm để kết luận có do virus hay không, ở ngoài đường mà đeo khẩu trang bọn Anh nó còn đấm vào mặt cho chứ ở đó mà điều trị",0
hard làm cc gì nưax thầy. Cứ đanh Man Phi Te như vậy là ok rồi. Chắc chắn lên vcsA,1
Em sẽ sub cho abe kênh mới yên tâm nha abe :>,0
Ngon...,0
Hợp lý anh ưi 🙄,0
Tạ Thu Hằng ae gì đâu nhỉ 🤣,0
Oker baybi oker baybi 🤣🤣🤣🤣🤣,0
Hợp lý😆,0
"sông cửu long thì bọn cẩu nó ngăn nước đầu nguồn , giờ miền trung thì xả chất độc :( chả có cái gì bọn cẩu này ko làm đc",1
có bán vỉ 2vien dùng thử ko,0
người làm thầy 3 + sena + petlan và bố già kalista thua mấy ngày nay,0
Xin Quỳ,0
Bọn chó chỉ biết ăn thôi,1
"đcm cái bọn ""Animal"" ""TAND BT"" ăn tiền nên mới xử như vậy.",1
Cmt dạo để được fan cứng :)),0
Nếu em nổi tiếng giống thầy là em làm rồi,0
"Ko lẻ bất cứ nước nào nhận lao động nước ngoài thì nước đó trình độ kém?? Ngu vl. Ngành luyện kim: mổi cty mở ra đều đưa nhân viên ra nước ngoài thực tập( chủ yếu ở Trung Quốc), vì chuyên môn yếu với lại thiếu chuyên cần, bất cẩn. Các nhà thầu TQ hầu n",0
Cá mè một lứa,0
có học thức chỉ tiếc văn hoá quá kém ...ý thức thua cả một con chó,1
Mình Hiểu nè mới biết you vì con SIC sanh nay ai ai,1
"Khinh ng,khẩu nghiệp,sân si,có ngày tr cho bà ăn xin đấy nha,hok có đất mà chôn thân đấy",1
"@Tiktok Official nói k lại rooid phán là chó hùa. T chúng tao đang nói đây đéo phải hàng real. Bớt xl lại. Đéo có fan của ai đây hết. Bán vậy rồi nghiệp quật. Thử nghỉ cha mẹ bây uống thuốc chống đột quỵ.... Mà trúng thuốc giả rồi k có tác dụng rồi sao. Đéo biết suy nghỉ. Ừ hàng giả nói giả. Rẻ cũng chạy. Bày đặt real, hàng pháp .... Xạo l",1
"Ơi là tr, Tao coi mà tao cười như thằng khùng luôn dị đó",1
Con cho,1
Justin Le Nguyen phục cái máu lồn,1
